id,name_series,airing_date
116605,River Where the Moon Rises                                                                                                                            ,2021-02-15
113622,Sisyphus                                                                                                                                              ,2021-02-17
204444,Miracle                                                                                                                                               ,2022-06-24
197064,Never Give Up                                                                                                                                         ,2022-05-04
81821,100 Days My Prince                                                                                                                                    ,2018-09-10
60748,Gap Dong                                                                                                                                              ,2014-04-11
85413,Blessing of the Sea                                                                                                                                   ,2019-01-14
62411,Let's Eat                                                                                                                                             ,2013-11-28
68424,That Sun in the Sky                                                                                                                                   ,2016-09-07
35351,Smile Dong Hae                                                                                                                                        ,2010-10-04
132979,Bad and Crazy                                                                                                                                         ,2021-12-17
152511,Forecasting Love and Weather                                                                                                                          ,2022-02-12
196907,Welcome to Wedding Hell                                                                                                                               ,2022-05-23
70372,My Only Love Song                                                                                                                                     ,2017-07-01
119772,The Devil Judge                                                                                                                                       ,2021-07-03
84107,The Last Empress                                                                                                                                      ,2018-11-21
78742,About Time                                                                                                                                            ,2018-05-21
89410,Search: WWW                                                                                                                                           ,2019-06-05
5716,Spring Waltz                                                                                                                                          ,2006-03-06
63106,The Scholar Who Walks the Night                                                                                                                       ,2015-07-08
124426,Mine                                                                                                                                                  ,2021-05-08
3504,Full House                                                                                                                                            ,2004-07-14
